Data negócio;Código IF;Instrumento financeiro;Código ISIN;Emissor;Data liquidação;Quantidade negociada;Preço mínimo;Preço médio;Preço máximo;Último preço;Preço de referência;Número de negócios;Volume financeiro (R$);Classificação do negócio;Oscilação
13/08/2026;LF002400V0Z;LF;BRBFIALFI697;BANCO STELLANTIS S.A.;13/08/2026;326;63575,722237;63575,722237;63575,722237;63577,918105;63577,36125846;8;20725685,41;EXTRAGRUPO;-
13/08/2026;LFSC25002MT;LFSC;BRITUBLFI1Z6;ITAU UNIBANCO HOLDING S.A;13/08/2026;4;324689,395755;324699,39606297;324709,395755;324709,395755;324776,55999182;2;1298797,58;INTRAGRUPO;-
13/08/2026;LFSC22002DF;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;22;349519,832436;349525,07539064;349530,318188;349519,832436;349525,07539064;2;7689551,65;INTRAGRUPO;-
13/08/2026;LF002500EU5;LF;BRBVKWLFICP1;BCO VOLKSWAGEN S/A;13/08/2026;2;58721,4155;58721,8559173;58722,296328;58722,296328;58721,8559173;2;117443,7;INTRAGRUPO;-
13/08/2026;LF002600LLD;LF;BRMCSFLFI1F1;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;110;50461,401836;50462,15877935;50462,9157;50462,9157;50462,15877935;2;5550837,46;EXTRAGRUPO;-
13/08/2026;LF002400KPX;LF;-;ITAU UNIBANCO S.A.;13/08/2026;16;65135,85398;65135,85398;65135,85398;65135,85398;65135,85398;2;1042173,66;INTRAGRUPO;-
13/08/2026;LFSC24007ER;LFSC;BRITUBLFI1Y9;ITAU UNIBANCO HOLDING S.A;13/08/2026;20;336911,757228;336916,8110558;336921,864732;336921,864732;336916,8110558;2;6738336,21;EXTRAGRUPO;0,06
13/08/2026;LFSC22002DE;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;42;349519,832436;349525,07539064;349530,318188;349519,832436;349525,07539064;2;14680053,16;INTRAGRUPO;-
13/08/2026;LF002600HFX;LF;BRNUFNLFI7O2;NU FINANCEIRA SA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO;13/08/2026;696;51281,33126407;51281,33126407;51281,33126407;51281,33126407;51281,33126407;2;35691806,54;INTRAGRUPO;0,03
13/08/2026;LF002400JOC;LF;-;ITAU UNIBANCO S.A.;13/08/2026;2;65318,70636;65318,70636;65318,70636;65318,70636;65318,70636;2;130637,4;INTRAGRUPO;-
13/08/2026;LFSC25009EX;LFSC;BRITUBLFI258;ITAU UNIBANCO HOLDING S.A;13/08/2026;8;343767,567862;343772,72453034;343777,881044;344205,680778;343893,33804113;2;2750181,79;EXTRAGRUPO;0,05
13/08/2026;LF0025008HL;LF;BRMCSFLFI0Z1;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;586;60893,65784123;60893,65784123;60893,65784123;60893,65784123;60893,65784123;2;35683683,48;INTRAGRUPO;-
13/08/2026;LF0025001UP;LF;BRAGBKLFI1Z1;BANCO AGIBANK S/A;13/08/2026;88;63458,331416;63459,28331927;63460,235194;63458,331416;63459,28331927;2;5584416,92;EXTRAGRUPO;-
13/08/2026;LF002500DY7;LF;BRBCGMLFI9W7;BANCO GM S.A;13/08/2026;1112;59473,19749275;59473,19749275;59473,19749275;59473,19749275;59473,19749275;6;66134195,58;INTRAGRUPO;-
