Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;ITAU UNIBANCO S.A.;LF0025008R8;37;60541,94756;2240052,06;-;Registro;18:44:37;13/08/2026;#2026081347960551;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002S2;11;324881,7248;3573698,97;-;Registro;13:45:56;13/08/2026;#2026081346823192;BRITUBLFI209;13/08/2026;Confirmado
LF;BANCO GM S.A;LF002500DY7;402;59473,19749;23908225,39;-;Registro;17:11:22;13/08/2026;#2026081347622170;BRBCGMLFI9W7;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DE;21;349530,3182;7340136,68;-;Registro;15:48:26;13/08/2026;#2026081347293851;BRITUBLFI1J0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;9;344106,5376;3096958,84;-;Registro;10:05:35;13/08/2026;#2026081345566985;BRITUBLFI241;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002S2;9;324881,7248;2923935,52;-;Registro;14:22:13;13/08/2026;#2026081346935884;BRITUBLFI209;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;2;344200,5177;688401,04;-;Registro;16:23:47;13/08/2026;#2026081347453726;BRITUBLFI258;13/08/2026;Cancelado
LF;ITAU UNIBANCO S.A.;LF002500AZU;9;60022,50116;540202,51;-;Registro;18:44:37;13/08/2026;#2026081347960570;-;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;5;64696,59911;323483;-;Registro;16:10:09;13/08/2026;#2026081347371014;BRMCSFLFI0V0;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;2;68637,87455;137275,75;-;Registro;16:10:10;13/08/2026;#2026081347371250;BRPTSGLFI2S9;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400V8K;17;63313,21817;1076324,71;-;Registro;18:44:37;13/08/2026;#2026081347960546;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002MT;2;324881,7248;649763,45;-;Registro;14:29:00;13/08/2026;#2026081346957660;BRITUBLFI1Z6;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;2;68636,84499;137273,69;-;Registro;16:10:10;13/08/2026;#2026081347371262;BRPTSGLFI2S9;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002MT;2;324709,3958;649418,79;-;Registro;18:26:00;13/08/2026;#2026081347901511;BRITUBLFI1Z6;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;9;344116,8609;3097051,75;-;Registro;10:05:35;13/08/2026;#2026081345566983;BRITUBLFI241;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400UJU;33;63296,27411;2088777,05;-;Registro;18:44:37;13/08/2026;#2026081347960560;-;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OI1;7;64461,15784;451228,1;-;Registro;18:44:36;13/08/2026;#2026081347960535;-;13/08/2026;Confirmado
